pac_name,affiliate,total,dem,repub,lean,year
Ready to Work PAC,Sheila Jackson Lee (D-Texas),5000,5000,0,Solidly Democrat/Liberal,2016
Restore Democracy,Rick Nolan (D-Minn),5000,5000,0,Solidly Democrat/Liberal,2016
Three Point Leadership Fund,Curt Clawson (R-Fla),5000,0,5000,Solidly Republican/Conservative,2016
America's Cmte For Excellence,Ralph Abraham (R-La),5000,0,5000,Solidly Republican/Conservative,2016
Advance The Majority PAC,Jeff Miller (R-Fla),5000,0,5000,Solidly Republican/Conservative,2016
Congressional Majority Cmte,ex-Rep. Bill Thomas (R-Calif),5000,0,5000,Solidly Republican/Conservative,2016
New Millennium PAC,Robert Menendez (D-NJ),5000,5000,0,Solidly Democrat/Liberal,2016
Leadership for American Opportunity,Chaka Fattah (D-Pa),5000,5000,0,Solidly Democrat/Liberal,2016
Louise's PAC,Louise M Slaughter (D-NY),5000,5000,0,Solidly Democrat/Liberal,2016
Concerned Americans for Freedom & Opportunity,Adrian Smith (R-Neb),5000,0,5000,Solidly Republican/Conservative,2016
Americans For Legislative Excellence PAC,Alex Mooney (R-WVa),4950,0,4950,Solidly Republican/Conservative,2016
Protecting America Under Law,Paul Gosar (R-Ariz),4750,0,4750,Solidly Republican/Conservative,2016
House Majority Fund,John Lewis (D-Ga),4700,4700,0,Solidly Democrat/Liberal,2016
Good Government for America,ex-Sen. George Allen (R-Va),4506,0,4506,Solidly Republican/Conservative,2016
PITTSPAC,Joe Pitts (R-Pa),4500,0,4500,Solidly Republican/Conservative,2016
GOP Generation Y Fund,Aaron Schock (R-Ill),4000,-1000,5000,Solidly Republican/Conservative,2016
In The Arena PAC,French Hill (R-Ark),4000,0,4000,Solidly Republican/Conservative,2016
Partnership for America,Frank A. LoBiondo (R-NJ),4000,0,4000,Solidly Republican/Conservative,2016
Monadnock PAC,ex-Rep. Charles Bass (R-NH),4000,0,4000,Solidly Republican/Conservative,2016
Big Sky Freedom PAC,ex-Sen. Conrad Burns (R-Mont),3800,0,3800,Solidly Republican/Conservative,2016
National Org to Retain the Majority,ex-Rep. Norm Dicks (D-Wash),3600,3600,0,Solidly Democrat/Liberal,2016
Mike PAC,ex-Rep. Mike Ferguson (R-NJ),3500,0,3500,Solidly Republican/Conservative,2016
Speak Up America PAC,Joe Wilson (R-SC),3000,0,3000,Solidly Republican/Conservative,2016
Truedem Leadership Fund,Marcy Kaptur (D-Ohio),3000,3000,0,Solidly Democrat/Liberal,2016
All Power to The People PAC,Bobby L Rush (D-Ill),3000,3000,0,Solidly Democrat/Liberal,2016
